"Module","Type","Classification","Documentation"
"selenium-test-lens-core","io.github.testlens.core.browser.BrowserScriptExecutor","LOW_LEVEL_API","docs/reference/core-model.md"
"selenium-test-lens-core","io.github.testlens.core.logging.CompositeLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.ConsoleLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.ConsumerLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.export.HtmlLogExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.export.JsonLogExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.export.LogExportOptions","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.export.PlainTextLogExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.export.UiTestLensLogExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.InMemoryLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.TargetDescriptor","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensEventType","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogEntry$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogEntry","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogger$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogger","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogLevel","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.logging.UiTestLensStatus","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.HtmlReportTheme","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceBundleExportOptions$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceBundleExportOptions","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceHtmlExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceHtmlExportOptions$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceHtmlExportOptions","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceHtmlReportSection","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceJsonWriter","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceReportBundleExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.export.TraceReportSupport","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceArtifact","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceArtifactType","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceEvent$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceEvent","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceEventType","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceFailure","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceJsonExporter","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceJsonExportOptions$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceJsonExportOptions","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceLogSink","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceMetadata$Builder","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceMetadata","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.RetryOutcomePolicy","USER_API","docs/observability/flakiness.md"
"selenium-test-lens-core","io.github.testlens.core.trace.RetryPolicyViolationException","USER_API","docs/observability/flakiness.md"
"selenium-test-lens-core","io.github.testlens.core.trace.RetrySummary","USER_API","docs/observability/flakiness.md"
"selenium-test-lens-core","io.github.testlens.core.trace.TraceStatus","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceStep","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.TraceTimeline","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.core.trace.UiTestLensSession","ADVANCED_API",""
"selenium-test-lens-core","io.github.testlens.utils.JsResources","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.api.ApiOverlayJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.api.ApiOverlayPanel","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.AssertionBadgesJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.HighlightJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.HudPanelJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.OverlayRootManager","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.ScrollArrowJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.TypeHintJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.UiTestLensRuntimeNames","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.core.WaitHudJs","INTERNAL_STYLE_PUBLIC",""
"selenium-test-lens-overlay","io.github.testlens.hud.HudPanel","LOW_LEVEL_API",""
"selenium-test-lens-overlay","io.github.testlens.hud.HudPosition","USER_API","docs/observability/visual-diagnostics.md"
"selenium-test-lens-overlay","io.github.testlens.hud.HudTheme$Builder","USER_API","docs/observability/visual-diagnostics.md"
"selenium-test-lens-overlay","io.github.testlens.hud.HudTheme","USER_API","docs/observability/visual-diagnostics.md"
"selenium-test-lens-overlay","io.github.testlens.hud.HudThemePreset","USER_API","docs/observability/visual-diagnostics.md"
"selenium-test-lens-overlay","io.github.testlens.OverlayConfig$Builder","USER_API","docs/observability/visual-diagnostics.md"
"selenium-test-lens-overlay","io.github.testlens.OverlayConfig","USER_API","docs/observability/visual-diagnostics.md"
